"","product","Land_use","Animal_feed","Farm","Processing","Transport","Packging","Retail","Total_emissions","Eutrophying_emissions_kcal","Eutrophying_emissions_kilogram","Eutrophying_emissions_protein","Freshwater_withdrawals_kcal","Freshwater_withdrawals_protein","Freshwater_withdrawals_kilogram","Greenhouse_gas_kcal","Greenhouse_gas_protein","Land_use_kcal","Land_use_kilogram","Land_use_protein","Scarcity_water_kilogram","Scarcity_water_protein","Scarcity_water_kcal"
"1","Beef (beef herd)",16.3,1.9,39.4,1.3,0.3,0.2,0.2,59.6,110.4065934,301.41,151.1584754,531.5750916,727.7833501,1451.2,36.43956044,49.88966901,119.4908425,326.21,163.5957874,34732.5,17418.50552,12722.52747
"2","Lamb & Mutton",0.5,2.4,19.5,1.1,0.5,0.3,0.2,24.5,30.64037855,97.13,48.54072964,568.7066246,900.9495252,1802.8,12.52996845,19.85007496,116.659306,369.81,184.8125937,141925,70927.03648,44771.29338
"3","Cheese",4.5,2.3,13.1,0.7,0.1,0.2,0.3,21.2,25.41860465,98.37,44.55163043,1448.372093,2538.586957,5605.2,6.170542636,10.81521739,22.68475452,87.79,39.75996377,180850.6,81906.97464,46731.42119
"4","Beef (dairy herd)",0.9,2.5,15.7,1.1,0.4,0.3,0.2,21.1,133.8058608,365.29,185.0506586,994.2490842,1375.025329,2714.3,12.1978022,16.86930091,15.83882784,43.24,21.9047619,119805.2,60691.59068,43884.68864
"5","Dark Chocolate",14.3,0,3.7,0.2,0.1,0.4,0,18.7,16.84332689,87.08,174.16,104.5647969,1081.2,540.6,9.023210832,93.3,13.3384913,68.96,137.92,2879.2,5758.4,556.9052224
"6","Coffee",3.7,0,10.4,0.6,0.1,1.6,0.1,16.5,197.3571429,110.52,138.15,46.25,32.375,25.9,50.94642857,35.6625,38.60714286,21.62,27.025,337,421.25,601.7857143
"7","Pig Meat",1.5,2.9,1.7,0.3,0.3,0.3,0.2,7.2,31.958159,76.38,47.20642769,751.3807531,1109.888752,1795.8,5.150627615,7.60815822,7.263598326,17.36,10.72929543,66867.4,41327.19407,27977.99163
"8","Poultry Meat",2.5,1.8,0.7,0.4,0.3,0.2,0.2,6.1,26.32432432,48.7,28.11778291,356.7567568,381.0623557,660,5.335135135,5.698614319,6.605405405,12.22,7.055427252,14177.9,8185.854503,7663.72973
"9","Fish (farmed)",0.5,0.8,3.6,0,0.1,0.1,0,5.1,131.3519553,235.12,103.1001973,2062.178771,1618.636264,3691.3,7.61452514,5.976759483,4.698324022,8.41,3.687787766,41572.2,18229.42337,23224.69274
"10","Eggs",0.7,2.2,1.3,0,0.1,0.2,0,4.5,15.11111111,21.76,19.61067051,401.1805556,520.6380678,577.7,3.243055556,4.208723864,4.354166667,6.27,5.650684932,17982.7,16206.4708,12487.98611
